source,platform_id,title,brand,model_number,price_usd,list_price_usd,rating,reviews_count,position,category,image_url,product_url,availability,recent_sales,is_bestseller,unit_price,collection,delivery_free,pickup_available,features,description,extract_date,sales_volume_numeric,product_type,volume_share
amazon,B0BTMWZH3K,"Kasa Apple HomeKit Smart Dimmer Switch KS220P3, Single Pole, Neutral Wire Required,2.4GHz Wi-Fi Light Works with Siri, Alexa and Google Home,UL Certified, No Hub Required,White, 3 Count (Pack of 1)",Kasa,,62.99,21.0,4.4,879.0,14,Dimmer Switches,https://m.media-amazon.com/images/I/61dm2xn-+UL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BTMWZH3K,,500+ bought in past month,,21.0,,,,,,6/6/25,500,Smart,0.6246096189881324
amazon,B073H9Y7SH,"Leviton Trimatron Rotary Dimmer Switch for Dimmable LED, Halogen and Incandescent Bulbs, RNL06-10Z, White",Leviton,,11.99,17.06,4.5,919.0,15,Dimmer Switches,https://m.media-amazon.com/images/I/71L+jgi7i+L._AC_UL320_.jpg,https://www.amazon.com/dp/B073H9Y7SH,,500+ bought in past month,,17.06,,,,,,6/6/25,500,Traditional,0.6246096189881324
amazon,B0BSHKS26L,"Lutron Diva Smart Dimmer Switch for Caseta Smart Lighting (Lutron Smart Hub Required) w/ Wall Plate, for LED Lights, 150 Watt, Single-Pole/3Way, No Neutral Required, DVRFW-6L-WH-A, White",Lutron,,73.9,,4.7,506.0,4,Dimmer Switches,https://m.media-amazon.com/images/I/715xKJk2EwL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BSHKS26L,,500+ bought in past month,,73.9,,,,,,6/6/25,500,Smart,0.6246096189881324
amazon,B0DKGXY4DL,"TP-Link Tapo Smart 3 Way Dimmer Switch KIT, Matter Compatible, Energy Monitoring, Neutral Wire Required, Works with Alexa, Siri, Google Home, SmartThings, UL Certified, 2.4GHZ Wi-Fi, Tapo S515D KIT",TP-Link,,43.99,22.0,4.6,111.0,8,Dimmer Switches,https://m.media-amazon.com/images/I/511KltQn-WL._AC_UL320_.jpg,https://www.amazon.com/dp/B0DKGXY4DL,,500+ bought in past month,,22.0,,,,,,6/6/25,500,Smart,0.6246096189881324
amazon,B002DNAG4W,"GE Single Pole Dimmer Toggle Switch, On/Off/Dim Settings, for Dimmable LED, CFL and Incandescent Bulbs, DIY Project, UL Listed, White, 18025",GE,,15.32,,4.4,4866.0,17,Dimmer Switches,https://m.media-amazon.com/images/I/810DttibQOL._AC_UL320_.jpg,https://www.amazon.com/dp/B002DNAG4W,,500+ bought in past month,,15.32,,,,,,6/6/25,500,Traditional,0.6246096189881324
amazon,B095X5H16X,"Amazon Basics Smart Dimmer Switch, Single Pole, Works with Alexa Only, 2.4 GHz Wi-Fi, No Hub Required, White",Amazon,,19.99,,4.3,5959.0,7,Dimmer Switches,https://m.media-amazon.com/images/I/71BxHSSwAyL._AC_UL320_.jpg,https://www.amazon.com/dp/B095X5H16X,,500+ bought in past month,,19.99,,,,,,6/6/25,500,Smart,0.6246096189881324
amazon,B0771BC2YH,"Cloudy Bay in Wall Dimmer Switch for LED Light/CFL/Incandescent,3-Way Single Pole Dimmable Slide,600 Watt max,Cover Plate Included",Cloudy Bay,,12.99,,4.4,9109.0,19,Dimmer Switches,https://m.media-amazon.com/images/I/51CdpRAl+bL._AC_UL320_.jpg,https://www.amazon.com/dp/B0771BC2YH,,500+ bought in past month,,12.99,,,,,,6/6/25,500,Traditional,0.6246096189881324
amazon,B0DRZ77JQT,"TP-Link Tapo Matter Smart Dimmer Switch, Single Pole, Neutral Wiring & 2.4 GHz WiFi Required, Compatible with Alexa, Siri, Google Home, Bixby, UL Certified Light Switch, (4-Pack)",TP-Link,,65.99,16.5,4.3,821.0,20,Dimmer Switches,https://m.media-amazon.com/images/I/61JdlGZg2gL._AC_UL320_.jpg,https://www.amazon.com/dp/B0DRZ77JQT,,500+ bought in past month,,16.5,,,,,,6/6/25,500,Smart,0.6246096189881324
amazon,B07RJ14FBS,Lutron Aurora Smart Bulb Dimmer Switch | for Philips Hue Smart Bulbs | Z3-1BRL-WH-L0 | White,Lutron,,39.95,50.0,4.6,2900.0,2,Dimmer Switches,https://m.media-amazon.com/images/I/61ZOaHZBtTL._AC_UL320_.jpg,https://www.amazon.com/dp/B07RJ14FBS,,400+ bought in past month,,50.0,,,,,,6/6/25,400,Smart,0.49968769519050593
amazon,B0CCND92GN,"Double Toggle Light Switch,15 Amp AC120 Volt,Residential Grade Electrical Wall Switch,Great for Home, Office & Kitchen, White,ETL Listed",WENGART Store,,6.79,2.41,4.3,93.0,13,Light Switches,https://m.media-amazon.com/images/I/61+PbOPNB8L._AC_UL320_.jpg,https://www.amazon.com/dp/B0CCND92GN,,400+ bought in past month,,2.41,,,,,,6/6/25,400,Traditional,0.49968769519050593
